company,latitude,longitude,province,amphur,tumbon
PTG,13.78636,100.3805,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์
PTT,13.6204626,100.4922736,กรุงเทพมหานคร,ทุ่งครุ,ทุ่งครุ
Shell,13.63918,100.5011,กรุงเทพมหานคร,ทุ่งครุ,ทุ่งครุ
PTG,13.62721,100.5051,กรุงเทพมหานคร,ทุ่งครุ,ทุ่งครุ
PTT,13.65111915,100.4835175,กรุงเทพมหานคร,ทุ่งครุ,บางมด
BCP,13.64627,100.4981,กรุงเทพมหานคร,ทุ่งครุ,บางมด
BCP,13.70056,100.484033,กรุงเทพมหานคร,ธนบุรี,ดาวคะนอง
Shell,13.69868,100.4839,กรุงเทพมหานคร,ธนบุรี,ดาวคะนอง
BCP,13.710928,100.470095,กรุงเทพมหานคร,ธนบุรี,ตลาดพลู
Shell,13.72003,100.4734,กรุงเทพมหานคร,ธนบุรี,ตลาดพลู
Shell,13.71701,100.4895,กรุงเทพมหานคร,ธนบุรี,บุคคโล
Shell,13.70775,100.4817,กรุงเทพมหานคร,ธนบุรี,บุคคโล
PTT,13.75132142,100.4779992,กรุงเทพมหานคร,บางกอกน้อย,บ้านช่างหล่อ
Shell,13.76028,100.4711,กรุงเทพมหานคร,บางกอกน้อย,บ้านช่างหล่อ
BCP,13.781599,100.473816,กรุงเทพมหานคร,บางกอกน้อย,อรุณอมรินทร์
Shell,13.72841,100.4823,กรุงเทพมหานคร,บางกอกใหญ่,วัดท่าพระ
Shell,13.74338,100.4812,กรุงเทพมหานคร,บางกอกใหญ่,วัดอรุณ
BCP,13.771381,100.635991,กรุงเทพมหานคร,บางกะปิ,คลองจั่น
BCP,13.807532,100.618806,กรุงเทพมหานคร,บางกะปิ,คลองจั่น
BCP,13.78484,100.63065,กรุงเทพมหานคร,บางกะปิ,คลองจั่น
BCP,13.815829,100.623671,กรุงเทพมหานคร,บางกะปิ,คลองจั่น
PTT,13.77003683,100.6622128,กรุงเทพมหานคร,บางกะปิ,หัวหมาก
BCP,13.74714,100.643626,กรุงเทพมหานคร,บางกะปิ,หัวหมาก
BCP,13.750242,100.645017,กรุงเทพมหานคร,บางกะปิ,หัวหมาก
Shell,13.75197,100.6178,กรุงเทพมหานคร,บางกะปิ,หัวหมาก
Shell,13.76106,100.6339,กรุงเทพมหานคร,บางกะปิ,หัวหมาก
PTG,13.75487,100.6463,กรุงเทพมหานคร,บางกะปิ,หัวหมาก
Shell,13.66803,100.4476,กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม
PTG,13.69851,100.4408,กรุงเทพมหานคร,บางขุนเทียน,บางขุนเทียน
PTT,13.62361274,100.3900853,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
PTT,13.66417,100.42814,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
PTT,13.6381965,100.4177618,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
PTT,13.644103,100.414017,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
PTT,13.65100017,100.4432304,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
PTT,13.6411748,100.4324317,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
PTT,13.65060659,100.4312851,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
PTT,13.625336,100.393236,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
BCP,13.672815,100.437846,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
BCP,13.62998,100.3962,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
BCP,13.618681,100.386575,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
BCP,13.619159,100.385863,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
BCP,13.6423543,100.4135081,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
BCP,13.662184,100.441748,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
BCP,13.66287,100.44125,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
BCP,13.651141,100.43065,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
Shell,13.63639,100.4024,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
Shell,13.62231,100.3906,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ
PTT,13.8781966,100.6334701,กรุงเทพมหานคร,บางเขน,ท่าแร้ง
PTT,13.8667084,100.6781095,กรุงเทพมหานคร,บางเขน,ท่าแร้ง
PTT,13.878698,100.63063,กรุงเทพมหานคร,บางเขน,ท่าแร้ง
BCP,13.85878,100.64167,กรุงเทพมหานคร,บางเขน,ท่าแร้ง
BCP,13.869771,100.64697,กรุงเทพมหานคร,บางเขน,ท่าแร้ง
Shell,13.88094,100.6271,กรุงเทพมหานคร,บางเขน,ท่าแร้ง
PTG,13.86926,100.645,กรุงเทพมหานคร,บางเขน,ท่าแร้ง
PTG,13.87879,100.63,กรุงเทพมหานคร,บางเขน,ท่าแร้ง
PTT,13.85982828,100.6224164,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์
PTT,13.88787155,100.6043365,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์
PTT,13.88016846,100.598512,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์
PTT,13.8740255,100.6208547,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์
PTT,13.86675,100.591073,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์
BCP,13.87895,100.61258,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์
Shell,13.8603,100.6219,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์
Shell,13.8812,100.5997,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์
Shell,13.87111,100.6033,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์
PTT,13.697316,100.513478,กรุงเทพมหานคร,บางคอแหลม,บางโคล่
BCP,13.70129016,100.5156326,กรุงเทพมหานคร,บางคอแหลม,บางโคล่
BCP,13.68804148,100.5170703,กรุงเทพมหานคร,บางคอแหลม,บางโคล่
PTT,13.70568925,100.5067809,กรุงเทพมหานคร,บางคอแหลม,วัดพระยาไกร
PTG,13.70899,100.5154,กรุงเทพมหานคร,บางคอแหลม,วัดพระยาไกร
PTT,13.71081946,100.4126004,กรุงเทพมหานคร,บางแค,บางแค
PTT,13.69906285,100.4211737,กรุงเทพมหานคร,บางแค,บางแค
BCP,13.687084,100.426421,กรุงเทพมหานคร,บางแค,บางแค
BCP,13.688736,100.407779,กรุงเทพมหานคร,บางแค,บางแค
Shell,13.68267,100.415,กรุงเทพมหานคร,บางแค,บางแค
Shell,13.7105,100.4104,กรุงเทพมหานคร,บางแค,บางแค
BCP,13.709682,100.389723,กรุงเทพมหานคร,บางแค,บางแคเหนือ
BCP,13.713217,100.395971,กรุงเทพมหานคร,บางแค,บางแคเหนือ
BCP,13.720176,100.405331,กรุงเทพมหานคร,บางแค,บางแคเหนือ
PTT,13.73526808,100.3959059,กรุงเทพมหานคร,บางแค,บางไผ่
